Partlist

Exported from Carte-mere-dashboard v43.sch at 24/06/2026 21:56

EAGLE Version 9.7.0 Copyright (c) 1988-2026 Autodesk, Inc.

Assembly variant: 

Part     Value                        Device                             Package                     Library             Sheet
TP13     TEST-POINT3X4                TEST-POINT3X4                      PAD.03X.04                  SparkFun-Connectors 1
TP14     TEST-POINT3X4                TEST-POINT3X4                      PAD.03X.04                  SparkFun-Connectors 1
TP15     TEST-POINT3X4                TEST-POINT3X4                      PAD.03X.04                  SparkFun-Connectors 1
U$1      LI-ION_BATT                  LI-ION_BATT                        2S_5000_LI-ION              MAXxx               1
U$2      GPC2316YB-5V                 GPC2316YB-5V                       GPC2316YB-5V                MAXxx               1
U$3      CH334RCH334R                 CH334RCH334R                       QSOP16_150MIL_              MAXxx               1
U$4      PINHD-1X02_1X02M             PINHD-1X02_1X02M                   1X02                        Tinkercad           1
U$5      MAUWB_DW3000MAUWB            MAUWB_DW3000MAUWB                  MAUWB-DW3000                MAXxx               1
U1       BMI270                       BMI270                             XDCR_BMI270                 MAXxx               1
U2       BQ25887RGER                  BQ25887RGER                        IC_BQ25887RGER              MAXxx               1
U3       NEO-M9N-00B                  NEO-M9N-00B                        XCVR_NEO-M9N-00B            MAXxx               1
U4       TLV75533PDBVR                TLV75533PDBVR                      SOT95P280X145-5N            MAXxx               1
U5       VEML6030                     VEML6030                           VISHAY_VEML6030_2X2X0.87    MAXxx               1
U6       TPS562200DDCR                TPS562200DDCR                      SOT95P280X110-6N            MAXxx               1
U7       TLV75533PDBVR                TLV75533PDBVR                      SOT95P280X145-5N            MAXxx               1
U8       ESP32-S3-WROOM-1-N16R2       ESP32-S3-WROOM-1-N16R2             XCVR_ESP32-S3-WROOM-1-N16R2 MAXxx               1
Y1       CX3225FB25000D0FZZH1         CX3225FB25000D0FZZH1               CX3225FB25000D0FZZH1        MAXxx               1
